Название,Описание,Жанр,Год,Страна,Теги/Эмоции,Ссылка
The New York Times,"Журналистки ""The New York Times"" Меган Туи и Джоди Кантор убедили жертв сексуального насилия рассказать об этом. Несмотря на усилия голливудского продюсера Харви Вайнштейна, девушкам удалось предать его многочисленные преступления огласке.",,,,,
Снежный волк,,Документальный,,,,
"Одерживая, или Дьявольская баня","Австрия, 1750 год. В лесной деревне казнят женщину, признавшуюся в убийстве младенца… О фильме. Основано на шокирующих реальных событиях. Агнес выходит замуж за незнакомца. Она чувствует себя отчуждённой и одинокой в его мире. Будучи эмоциональной и набожной, она молит Бога послать ей ребенка. Когда этого не происходит, Агнес всё больше изолирует себя от сельской жизни и работы. Не находя выхода из своей внутренней тюрьмы, будучи одержимой своими демонами, она решается на…",,,,,
Присяжный номер два,"Участвующий в судебном разбирательстве присяжный, понимая свою причастность к преступлению, стоит перед очень непростым выбором: ему нужно либо отдаться в руки закона, либо продолжать манипулировать и обманывать своих коллег…",,,,,
"Примадонна, или Флоренс Фостер Дженкинс",,,,,,
Вы так прекрасны,,,,,,
Событие,"1963 год. Анна учится в университете и мечтает о писательской карьере. Незадолго до выпускных экзаменов она обнаруживает, что беременна, и эта новость может поставить крест на ее будущем.",,1963,,,
Чекист,"Картина снята по повести Владимира Зазубрина «Щепка» (1923). Это фильм о временах «красного террора», когда без суда и следствия были уничтожены миллионы людей.",,,,,
Щепка,"Картина снята по повести Владимира Зазубрина «Щепка» (1923). Это фильм о временах «красного террора», когда без суда и следствия были уничтожены миллионы людей.",,,,,
красного террора,"Картина снята по повести Владимира Зазубрина «Щепка» (1923). Это фильм о временах «красного террора», когда без суда и следствия были уничтожены миллионы людей.",,,,,
Прорва,"Это драма бывшей дворянки, ставшей в 1930-е годы женой сотрудника НКВД, и почти анекдотическая история о том, как для парада маршалу Буденному готовили ретивого жеребца и, в конце концов, ""подсунули"" проверенную кобылу. Показаны реалии жизни верхушки Госбезопасности, их обычная и ""сладкая"" жизнь со своими радостями, интригами, изменами и трагедиями: Россия, что прорва, которая засасывает и уничтожает...",Драма,1930,Россия / СССР,,
подсунули,"Это драма бывшей дворянки, ставшей в 1930-е годы женой сотрудника НКВД, и почти анекдотическая история о том, как для парада маршалу Буденному готовили ретивого жеребца и, в конце концов, ""подсунули"" проверенную кобылу. Показаны реалии жизни верхушки Госбезопасности, их обычная и ""сладкая"" жизнь со своими радостями, интригами, изменами и трагедиями: Россия, что прорва, которая засасывает и уничтожает...",Драма,1930,Россия / СССР,,
сладкая,"Это драма бывшей дворянки, ставшей в 1930-е годы женой сотрудника НКВД, и почти анекдотическая история о том, как для парада маршалу Буденному готовили ретивого жеребца и, в конце концов, ""подсунули"" проверенную кобылу. Показаны реалии жизни верхушки Госбезопасности, их обычная и ""сладкая"" жизнь со своими радостями, интригами, изменами и трагедиями: Россия, что прорва, которая засасывает и уничтожает...",Драма,1930,Россия / СССР,,
Культура,"Это драма бывшей дворянки, ставшей в 1930-е годы женой сотрудника НКВД, и почти анекдотическая история о том, как для парада маршалу Буденному готовили ретивого жеребца и, в конце концов, ""подсунули"" проверенную кобылу. Показаны реалии жизни верхушки Госбезопасности, их обычная и ""сладкая"" жизнь со своими радостями, интригами, изменами и трагедиями: Россия, что прорва, которая засасывает и уничтожает...",Драма,1930,Россия / СССР,,
Комфорт незнакомцев,,,,,,
Тихий садовник,,,,,,
Земля,,,,,,
"Пиры Валтасара, или Ночь со Сталиным","Фильм поставлен по мотивам главы «Пиры Валтасара» из романа Фазиля Искандера «Сандро из Чегема». Действие разворачивается в середине 30-х годов минувшего века. Герой картины, солист ансамбля народного танца, попадает на роскошный ночной пир, устроенный тогдашним руководителем Абхазии Нестором Лакобой в честь приезда Сталина. Блестящее выступление Сандро из Чегема перед гостями едва не оканчивается для него катастрофой...",,,,,
Пиры Валтасара,"Фильм поставлен по мотивам главы «Пиры Валтасара» из романа Фазиля Искандера «Сандро из Чегема». Действие разворачивается в середине 30-х годов минувшего века. Герой картины, солист ансамбля народного танца, попадает на роскошный ночной пир, устроенный тогдашним руководителем Абхазии Нестором Лакобой в честь приезда Сталина. Блестящее выступление Сандро из Чегема перед гостями едва не оканчивается для него катастрофой...",,,,,
Сандро из Чегема,"Фильм поставлен по мотивам главы «Пиры Валтасара» из романа Фазиля Искандера «Сандро из Чегема». Действие разворачивается в середине 30-х годов минувшего века. Герой картины, солист ансамбля народного танца, попадает на роскошный ночной пир, устроенный тогдашним руководителем Абхазии Нестором Лакобой в честь приезда Сталина. Блестящее выступление Сандро из Чегема перед гостями едва не оканчивается для него катастрофой...",,,,,
Игра изменилась,"Это положительный образ профессионального политика и порядочного человека. Маккейн в изображении Эда Харриса вызывает симпатию, заставляет иначе взглянуть на мир политики, утверждая мысль о том, что он состоит не только из циников и проходимцев. В остальных ролях: Джулианна Мур, Вуди Харрельсон, Питер МакНикол, Джейми Шеридан, Сара Полсон, Рон Ливингстон, Дэвид Бэрри Грэй, Ларри Салливан, Микал Эванс.",,,,,
Лучшее предложение,,,,,,
Мегалополис,,,,,,
Настоящий киноман обязан это видеть,"Гениальный архитектор Цезарь Катилина пытается превратить Новый Рим в утопический центр мира и соперничает с конкурирующим проектом мэра Франклина Цицерона. Цицерон готов пойти на всё, чтобы уничтожить своего соперника. Это фильм-провокация. Режиссёр хочет оставить нам некий фильм-притчу, фильм-предостережение, главным смыслом которого является зацикленность истории и нежелание учиться на своих ошибках. «Настоящий киноман обязан это видеть», - кинокритик А. Долин.",,,,,
"Ли, или Великая","История Ли Миллер - фотомодели, которая стала известной корреспонденткой журнала Vogue во время Второй мировой войны.",,,,,
Мистер Чёрч,"Это картина о дружбе и почти семейных отношениях между двумя белыми женщинами, матерью и дочерью, и их чернокожим поваром по имени мистер Чёрч.",,,,,
Любить,,,,,,
Молдова-фильм,,,,,,
Ученик. Восхождение Трампа,,,,,,
фейковым,,,,,,
подлым и бездарным писакой,,,,,,
Несвобода,,,,,,
Газовый свет,,,,,,
Долорес Клейборн,,,,,,
Жизнь этого парня,,,,,,
В постели с врагом,,,,,,
С меня хватит,,,,,,
Gaslight,,,,,,
газлайтинг,,,,,,
Слим,,,,,,
Искупление,"13-летняя Бриони обладает превосходным воображением и пишет пьесы. Она знает, что сын прислуги Робби влюблен в ее старшую сестру Сесилию, и та отвечает ему взаимностью. Но когда ее кузина Лола становится жертвой насильника, Бриони уверено показывает на Робби — ее воображение дорисовывает картину насилия. Робби отправляется в тюрьму, а Сесилия отказывается верить Брионии, рождая страшную вражду между сестрами. Действие фильма начинается в 1934 году и разворачивается на фоне Второй мировой войны.",,1934,,,
Секретное досье,"Это история Кэтрин Грэм, первой женщины-издателя газеты «Вашингтон пост», и редактора Бена Брэдли. Они вступают в гонку с «Нью-Йорк Таймс» за право пролить свет на государственные тайны, скрывавшиеся более 30 лет. Журналистам придется преодолеть свои разногласия и рискнуть карьерой и свободой, чтобы мир узнал правду…",,,,,
Вашингтон пост,"Это история Кэтрин Грэм, первой женщины-издателя газеты «Вашингтон пост», и редактора Бена Брэдли. Они вступают в гонку с «Нью-Йорк Таймс» за право пролить свет на государственные тайны, скрывавшиеся более 30 лет. Журналистам придется преодолеть свои разногласия и рискнуть карьерой и свободой, чтобы мир узнал правду…",,,,,
Нью-Йорк Таймс,"Это история Кэтрин Грэм, первой женщины-издателя газеты «Вашингтон пост», и редактора Бена Брэдли. Они вступают в гонку с «Нью-Йорк Таймс» за право пролить свет на государственные тайны, скрывавшиеся более 30 лет. Журналистам придется преодолеть свои разногласия и рискнуть карьерой и свободой, чтобы мир узнал правду…",,,,,
Убийцы среди нас,,Документальный,,,,
Европа,,Документальный,,,,
"Наши матери, наши отцы",,Документальный,,,,
Мнения сторон,,Документальный,,,,
Музыкальная шкатулка,,Документальный,,,,
Нюрнбергский процесс,,Документальный,,,,
Человек в стеклянной будке,,Документальный,,,,
В лабиринте молчания,,Документальный,,,,
Внуки и дети военных преступников. Можно ли заставить целую нацию раскаяться?,,,,,,
DEFA,"После окончания войны из концлагеря в Берлин возвращается молодая немка. Здесь она обнаруживает, что её квартира самовольно занята странным мужчиной, который наотрез отказывается выезжать. Проникнувшись сочувствием к контуженному ветерану, она отводит ему угол и пытается помочь ему избавиться от кошмаров войны, открывая в его прошлом одну загадку за другой… Это первый немецкий послевоенный фильм, снятый на киностудии «DEFA». СССР сделал возможным появление этого фильма сразу после войны. В советском прокате шёл под названием ""Они не скроются"".",Драма,,Россия / СССР,,
Они не скроются,"После окончания войны из концлагеря в Берлин возвращается молодая немка. Здесь она обнаруживает, что её квартира самовольно занята странным мужчиной, который наотрез отказывается выезжать. Проникнувшись сочувствием к контуженному ветерану, она отводит ему угол и пытается помочь ему избавиться от кошмаров войны, открывая в его прошлом одну загадку за другой… Это первый немецкий послевоенный фильм, снятый на киностудии «DEFA». СССР сделал возможным появление этого фильма сразу после войны. В советском прокате шёл под названием ""Они не скроются"".",Драма,,Россия / СССР,,
Освенцимским процессам,"Фильм посвящен «Освенцимским процессам» - под таким названием в немецкую историю вошли суды над охранниками, надзирателями и прочим персоналом концлагеря Освенцим (Аушвиц), которые проходили во Франкфурте-на-Майне в 60-е годы. Молодой прокурор Йоханн Радманн обнаруживает сведения, изобличающие преступную деятельность бывшего персонала концлагеря. При поддержке генерального прокурора Фрица Бауэра (реальная фигура) он начинает расследование, в результате которого на скамье подсудимых оказалась целая «команда» лагерных палачей. Основная тема фильма – конфликт между теми, кто желает забыть прошлое во имя национального примирения в условиях «экономического чуда» и теми, кто стремится к установлению справедливости.",,,,,
команда,"Фильм посвящен «Освенцимским процессам» - под таким названием в немецкую историю вошли суды над охранниками, надзирателями и прочим персоналом концлагеря Освенцим (Аушвиц), которые проходили во Франкфурте-на-Майне в 60-е годы. Молодой прокурор Йоханн Радманн обнаруживает сведения, изобличающие преступную деятельность бывшего персонала концлагеря. При поддержке генерального прокурора Фрица Бауэра (реальная фигура) он начинает расследование, в результате которого на скамье подсудимых оказалась целая «команда» лагерных палачей. Основная тема фильма – конфликт между теми, кто желает забыть прошлое во имя национального примирения в условиях «экономического чуда» и теми, кто стремится к установлению справедливости.",,,,,
экономического чуда,"Фильм посвящен «Освенцимским процессам» - под таким названием в немецкую историю вошли суды над охранниками, надзирателями и прочим персоналом концлагеря Освенцим (Аушвиц), которые проходили во Франкфурте-на-Майне в 60-е годы. Молодой прокурор Йоханн Радманн обнаруживает сведения, изобличающие преступную деятельность бывшего персонала концлагеря. При поддержке генерального прокурора Фрица Бауэра (реальная фигура) он начинает расследование, в результате которого на скамье подсудимых оказалась целая «команда» лагерных палачей. Основная тема фильма – конфликт между теми, кто желает забыть прошлое во имя национального примирения в условиях «экономического чуда» и теми, кто стремится к установлению справедливости.",,,,,
Вся королевская рать,Картина снята по одноименному роману Роберта Пенна Уоррена. Это история взлёта и падения коррумпированного политика-популиста.,,,,,
Настоящая любовь,"Когда Кларенс Уорли встречает Алабаму, ""девушку по вызову"", то в его сердце вселяется великая любовь. Чувство Кларенса столь грандиозно, что встающие поперек пути ""сладкой парочки"" разнообразные препятствия воспринимаются им как досадные, но легко преодолимые помехи. Для них главное - любовь, и ничего кроме... Настоящая любовь...",Триллер,,,,
девушку по вызову,"Когда Кларенс Уорли встречает Алабаму, ""девушку по вызову"", то в его сердце вселяется великая любовь. Чувство Кларенса столь грандиозно, что встающие поперек пути ""сладкой парочки"" разнообразные препятствия воспринимаются им как досадные, но легко преодолимые помехи. Для них главное - любовь, и ничего кроме... Настоящая любовь...",Триллер,,,,
сладкой парочки,"Когда Кларенс Уорли встречает Алабаму, ""девушку по вызову"", то в его сердце вселяется великая любовь. Чувство Кларенса столь грандиозно, что встающие поперек пути ""сладкой парочки"" разнообразные препятствия воспринимаются им как досадные, но легко преодолимые помехи. Для них главное - любовь, и ничего кроме... Настоящая любовь...",Триллер,,,,
Катынь,"Литературная основа фильма — повесть Анджея Мулярчика «Post Mortem. Катынская повесть». Фильм начинается 17 сентября 1939 года и заканчивается осенью 1945. В фильме четыре главных линии. Это судьбы четырех польских офицеров и, в первую очередь, судьбы их родственников, которые не знают правды, но догадываются о ней. Это фильм о женщинах, которые ждут, не верят в смерть, надеются.",,1939,,,
Post Mortem. Катынская повесть,"Литературная основа фильма — повесть Анджея Мулярчика «Post Mortem. Катынская повесть». Фильм начинается 17 сентября 1939 года и заканчивается осенью 1945. В фильме четыре главных линии. Это судьбы четырех польских офицеров и, в первую очередь, судьбы их родственников, которые не знают правды, но догадываются о ней. Это фильм о женщинах, которые ждут, не верят в смерть, надеются.",,1939,,,
"Человек по имени Уве, или Вторая жизнь Уве","Уве - пожилой въедливый ворчун, достающий соседей вечными придирками. Он впадает в ярость при виде брошенного не туда мусора или неправильно припаркованной машины. И кроет на чем свет стоит легкомысленную семейку новосёлов, в которой папаша и гвоздя вбить не способен. Зато Уве умеет всё. В доме и в гараже у него всегда идеальный порядок. Как и в мыслях. Вот только жизнь давно перестала иметь для него смысл…",Драма,,,,
Я иду искать,"Молодая невеста - теперь часть семьи своего новоиспеченного мужа, богатого эксцентричного рода, чтящего вековые традиции. Кто бы мог подумать, что первая брачная ночь превратится в смертельную игру с новообретёнными родственниками, в которой девушке нужно будет очень постараться, чтобы дожить до рассвета.",Комедия,,,,
Мартовские иды,"Это фильм об избирательной кампании Майка Морриса, проводившейся во время первичных выборов кандидата на пост президента США от демократической партии в 2004 году.",Триллер,2004,США,,
Жервеза,,,,,,
Западня,,,,,,
Роковая восьмёрка,"Джон сидел у входа в кафе без гроша в кармане, ведь накануне он всё проиграл в казино. Проходивший мимо пожилой мужчина по имени Сидни угостил бедолагу кофе и сигаретой, а в ходе беседы предложил научить Джона, как заработать большие деньги, играя в казино. Спустя два года Джон под чутким руководством Сидни превратился в первоклассного игрока, а деньги потекли рекой. Всё шло хорошо до тех пор, пока Джон не влюбился в официантку по имени Клементина.",Драма,,,,
Ночи в стиле буги,"1977 год, долина Сан-Фернандо. Известный порнорежиссёр Джек Хорнер встретил в ресторане ночного клуба молодого официанта Эдди Адамса и понял, что этот юноша - как раз то, что ему необходимо. Интуиция не подвела Джека: на пробных съёмках с опытной порнозвездой Эдди показал себя мастером высшего класса, в карманы Хорнера и его сподвижников потекли огромные деньги. Эдди выбирает себе псевдоним, подходящий для порнозвезды - Дёрк Диглер.",Драма,1977,,,
Магнолия,"Эта история произошла в долине Сан-Фернандо в дождливый день, когда на небе не было ни облачка. Благодаря вмешательству высших сил, а также нагромождению совпадений, случайностей, действий разных людей, их жизни и судьбы переплетутся и проникнут друг в друга в течение одного дня, финал которого будет незабываемым.",Драма,,,,
"Любовь, сбивающая с ног","Барри Игану крупно не повезло. Быть восьмым ребенком в семье, где все остальные дети девчонки — это судьба не для слабых духом. Неудивительно, что в тени своих семи явно склонных к тирании сестер, строго пресекавших все его попытки завести романтические отношения, парень вырос жутким невротиком с кучей комплексов…",Драма,,,,
Нефть,"Начало XX века. Предприниматель Дэниэл Плэйнвью ищет золото и серебро, а находит нефть. За несколько лет он становится преуспевающим нефтяником, разработавшим уже несколько скважин. Однажды он узнает про новое месторождение. Уцепившись за этот шанс разбогатеть, Дэниэл делает всё, чтобы добиться своего. Главную роль в фильме исполнил Дэниэл Дэй-Льюис.",Драма,,,,
Золотой орёл,"Начало XX века. Предприниматель Дэниэл Плэйнвью ищет золото и серебро, а находит нефть. За несколько лет он становится преуспевающим нефтяником, разработавшим уже несколько скважин. Однажды он узнает про новое месторождение. Уцепившись за этот шанс разбогатеть, Дэниэл делает всё, чтобы добиться своего. Главную роль в фильме исполнил Дэниэл Дэй-Льюис.",Драма,,,,
Мастер,"Демобилизованный моряк с загадочным прошлым не может найти места в послевоенной Америке. Он меняет одну работу за другой, пока случайно не знакомится с харизматичным создателем религиозного культа, известным писателем и философом. К удивлению приверженцев модного учения, их гуру делает агрессивного маргинала своим ближайшим помощником. По мере того, как новая вера завоевывает поклонников, бывший бродяга начинает задаваться вопросами о том, во что он верит, и кем является его наставник на самом деле. Но некоторым тайнам лучше оставаться нераскрытыми…",Драма,,,,
Врождённый порок,"Калифорния, 1970 год. Ларри Спортелло трудится на почве частного сыска и сильно увлекается марихуаной. Его разыскивает бывшая подруга, но вскоре женщина исчезает вместе со своим новым богатым поклонником. Ларри начинает расследовать дело.",Драма,1970,,,
Призрачная нить,"В Лондоне 1950-х годов знаменитый кутюрье Рейнольдс Вудкок создает неповторимые образы для королевской семьи, звезд кино, богатых наследниц и светских львиц. Жизнь гения радикально меняется с появлением молодой своенравной Альмы, которая становится его музой.",Драма,1950,,,
Лакричная пицца,"1973 год, долина Сан-Фернандо. Гэри всего 15 лет, но он уже достаточно смел и обладает сильным деловым чутьем. Беспечной Алане 25, она не занята ничем серьёзным и многого от будущего не ждёт. Влюбившись в девушку с первого взгляда, Гэри изо всех сил старается стать её бойфрендом и постоянно втягивает Алану в свою разнообразную деятельность.",Драма,1973,,,
Костюм,"1956 год. Лондонский портной Леонард переехал в Чикаго, где открыл своё ателье. Помимо прочих, его клиентами являются и гангстеры. Однажды вечером в ателье появляются раненый сын влиятельного бандита и его телохранитель…",,1956,,,
Стэнфордским тюремным экспериментом,,,,,,
Стэнфордский тюремный эксперимент,,,,,,
Настоящее Время. Док,,Документальный,,,,
Антуан и Антуанетта,,Драма,,,,
Женщина в золотом,,Драма,,,,
Портрет Адели Блох-Бауэр,"История Марии Альтманн, которая пытается добиться справедливости - вернуть ценности, отобранные у ее семьи нацистами несколько десятилетий назад. Среди культурного достояния женщины известная картина Густава Климта «Портрет Адели Блох-Бауэр», которую иногда называют «Золотая Адель». Вместе с неопытным, но отважным молодым адвокатом, женщина пытается доказать свои права на наследие предков.",,,,,
Золотая Адель,"История Марии Альтманн, которая пытается добиться справедливости - вернуть ценности, отобранные у ее семьи нацистами несколько десятилетий назад. Среди культурного достояния женщины известная картина Густава Климта «Портрет Адели Блох-Бауэр», которую иногда называют «Золотая Адель». Вместе с неопытным, но отважным молодым адвокатом, женщина пытается доказать свои права на наследие предков.",,,,,
Эмигранты,,,,,,
Прага 1917,,,,,,
Грузия 1918-1921: кто бежал в новую независимую республику,,,,,,
Хельсинки 1917: убежище эмигрантов,,,,,,
Скафандр и бабочка,"Жан-Доминик Боби, редактор журнала Elle France, в 1995 году в возрасте 43 трех лет перенес инсульт, в результате которого он был полностью парализован. Подмигивая оставшимся не парализованным левым глазом, когда сидящий рядом человек называл нужную букву, Жан-Доминик рассказал все о своем внутреннем мире, начиная с психологической пытки из-за того, что ты заперт внутри собственного тела, и заканчивая воображаемыми историями о мирах, которые он посещал лишь в своих мечтах.",,1995,,,
Бункер,,,,,,
Молох,,,,,,
"Прощание со Сталиным, или Государственные похороны",,,,,,
"Хрусталев, машину!",,,,,,
Генерал Иди Амин Дада: Автопортрет,,,,,,
Последний король Шотландии,,,,,,
Муссолини и я,,,,,,
Чай с Мусслоини,,,,,,
Праздник козла,,,,,,
Нет,,,,,,
Эвита,,,,,,
В лучах солнца,,,,,,
Объединенная зона безопасности,,,,,,
Детство лидера,,,,,,
тетралогии власти,"Первая часть авторской «тетралогии власти» Александра Сокурова. Весна 1942 года. В уединённый и хорошо охраняемый особняк Евы Браун в баварских Альпах приезжает Адольф Гитлер. Во время отдыха диктатор с присущей ему эмоциональностью, граничащей с помешательством, рассуждает на самые разные темы: от еды и здоровья до изменений климата и политики военного времени. Кроме прочего, он вскользь заявляет, что не знает о существовании Освенцима. Жизнь нацистской элиты показана с тревожностью и режиссёрской безжалостностью к её персонажам.",,1942,,,
Оно,,Документальный,,,,
Прощание со Сталиным,,Документальный,,,,
Опеля,"В последнюю зимнюю ночь 1953 года московский истопник Федя Арамышев по дороге на работу соблазняется блестящей фигуркой на радиаторе пустого, засыпанного снегом «Опеля», стоящего на обочине. Откуда было знать бедному Феде, что из-за легкомысленного поступка он попадет в историю, связанную с «делом врачей», оперативными планами МГБ и высокой политики. Эта история так и останется для него неизвестной, он так и не поймет, из-за чего получил десять лет лагерей…",,1953,,,
делом врачей,"В последнюю зимнюю ночь 1953 года московский истопник Федя Арамышев по дороге на работу соблазняется блестящей фигуркой на радиаторе пустого, засыпанного снегом «Опеля», стоящего на обочине. Откуда было знать бедному Феде, что из-за легкомысленного поступка он попадет в историю, связанную с «делом врачей», оперативными планами МГБ и высокой политики. Эта история так и останется для него неизвестной, он так и не поймет, из-за чего получил десять лет лагерей…",,1953,,,
документальный фильм о диктаторе,,Документальный,,,,
Чай с Муссолини,"Флоренция, 1934 год. Зловещий диктатор Муссолини и его соратники прибирают власть в Италии к своим рукам. Но в залитой солнцем, сонной Флоренции все идет по-старому. Здесь ведет сытое, размеренное и умеренное существование пестрая компания пожилых леди из Америки и Британии, прозванных местными остряками «Скорпионшами». Дамы проводят дни в светских разговорах, неторопливых чаепитиях и обсуждениях бесспорных достоинств своего неподражаемого кумира - Муссолини. Но никто из «скорпионш» еще не подозревает, что очень скоро кумир сделает их жизнь в Италии невыносимой, объявит женщин опасными и вышлет из страны…",,1934,Великобритания,,
Скорпионшами,"Флоренция, 1934 год. Зловещий диктатор Муссолини и его соратники прибирают власть в Италии к своим рукам. Но в залитой солнцем, сонной Флоренции все идет по-старому. Здесь ведет сытое, размеренное и умеренное существование пестрая компания пожилых леди из Америки и Британии, прозванных местными остряками «Скорпионшами». Дамы проводят дни в светских разговорах, неторопливых чаепитиях и обсуждениях бесспорных достоинств своего неподражаемого кумира - Муссолини. Но никто из «скорпионш» еще не подозревает, что очень скоро кумир сделает их жизнь в Италии невыносимой, объявит женщин опасными и вышлет из страны…",,1934,Великобритания,,
скорпионш,"Флоренция, 1934 год. Зловещий диктатор Муссолини и его соратники прибирают власть в Италии к своим рукам. Но в залитой солнцем, сонной Флоренции все идет по-старому. Здесь ведет сытое, размеренное и умеренное существование пестрая компания пожилых леди из Америки и Британии, прозванных местными остряками «Скорпионшами». Дамы проводят дни в светских разговорах, неторопливых чаепитиях и обсуждениях бесспорных достоинств своего неподражаемого кумира - Муссолини. Но никто из «скорпионш» еще не подозревает, что очень скоро кумир сделает их жизнь в Италии невыносимой, объявит женщин опасными и вышлет из страны…",,1934,Великобритания,,
"Нечестивец, или Праздник Козла","Фильм снят по мотивам романа лауреата Нобелевской премии Марио Варгас Льосы «Нечестивец, или Праздник Козла». Фильм рассказывает об последних годах правления одного из самых одиозных диктаторов в истории Рафаэле Леонидасе Трухильо, безжалостном убийце и растлителе, железной рукой правившем в Доминиканской Республике с 1930 по 1961 год и, в последствие, убитым собственными сподвижниками.",,1930,,,
