Название,Описание,Жанр,Год,Страна,Теги/Эмоции,Ссылка
На последнем дыхании,,Документальный,,,,
Борсалино,,Документальный,,,,
Борсалино и компания,,Документальный,,,,
Професионал,,Документальный,,,,
Профессионал,,,,,,
Холланд,"2000 год. В окружении мельниц и тюльпанов Нэнси счастливо живёт в городке Холланд штата Мичиган, где чтят нидерландские культурные традиции. Женщина работает в местной школе, у неё прекрасный дом, любящий муж-оптометрист и замечательный сын. Очередная поездка супруга на медицинскую конференцию вызывает у неё подозрение, что тот завёл интрижку на стороне, и с помощью коллеги-учителя Нэнси начинает расследование…",Триллер,2000,,,
"The Prize, или Нобелевская премия","По одноименному роману Ирвинга Уоллеса. В Стокгольм прибывает нобелевский лауреат по литературе молодой писатель Эндрю Крэйг, больше увлекавшийся выпивкой и девушками, нежели литературной деятельностью. Также на торжественное вручение приезжает лауреат в области физики, доктор Макс Стрэтмэн, немецко-американский физик, которого сопровождает молодая и очаровательная племянница Эмили. Оба лауреата оказываются в одном отеле, и вскоре Крэйг замечает, что доктор Стрэтмэн ведет себя слишком странно...",Триллер,,США,,
Заговор против Америки,"Знаменитый пилот и приверженец изоляционизма Чарльз Линдберг победил на выборах в 1940 году и стал новым президентом США. С приходом Линдберга к власти в стране расцветает антисемитизм. Президент публично обвиняет евреев в попытке втянуть страну в войну с нацистской Германией и договаривается с Адольфом Гитлером о невмешательстве. Пока из радиоприёмников разносятся громкие речи Линдберга, молодой Филип Рот и его родные, и близкие с ужасом наблюдают, как идеология нового президента готовится разрушить их жизнь.",,1940,США,,
Фантик. Первобытная сказка,,Анимация,,,,
Союзмультфильм,,Анимация,,,,
Афера Стивена Гласса,"Подлинная история молодого журналиста Стивена Гласса, который в середине 90-х зарекомендовал себя одним из самых бойких журналистов в стране, оказавшись сотрудником таких солидных изданий, как Rolling Stone и The New Republic. Скандал разразился тогда, когда Гласса поймали на жульничестве: он частенько подтасовывал факты, придумывал то, чего не было, вставлял в статьи не существующие цитаты и, порой, целиком придумывал те истории, которые выдавал за подлинные. За эти проделки Гласс был вынужден распрощаться со своей карьерой…",,,,,
Легенда о пианисте,"Вскоре после Второй мировой войны бывший музыкант Макс приходит в магазин музыкальных инструментов чтобы продать свою трубу. Напоследок он играет на любимом инструменте, и владелец магазина узнаёт мелодию, обнаруженную на неизданной и восстановленной из осколков матрице записи, найденной в рояле, снятом с ранее круизного, а в годы войны – госпитального судна, а теперь намеченного к уничтожению. Это случайное открытие начинает рассказ Макса истории-легенды…",,,,,
Точка кипения,,Драма,,,,
Поющие в терновнике,"Порой любовь бывает жестока - неумолимо преследует нас, даруя ложные надежды и заставляя ожидать того единственного, которому не суждено быть рядом... Фильм собрал звездный актерский состав: Ричард Чемберлен, Барбара Стэнвик, Кристофер Пламмер, Джин Симмонс, Рейчел Уорд, Пайпер Лори.⬇️",,,,,
Весна,,,,,,
Чудеса,,,,,,
Где бы ты ни был,,,,,,
Страна чудес,"Отец-консерватор хочет любой ценой оградить дочерей от опасностей современного мира. Четыре сестры, старшей из которых 14, живут в собственном сказочном королевстве на итальянской ферме и продолжают семейное дело — производство меда. Но это лето будет особенным для всех. В глубинку приезжает теледива, которая снимает в этих краях реалити-шоу «Страна чудес». Встреча с ней открывает для девочек прекрасный новый мир.",,,,,
Звезда родилась,"Кантри-музыкант Джексон Мейн, чья карьера быстро катится под откос, однажды знакомится с никому не известной талантливой певицей Элли. Между героями вспыхивает страстный роман. Джек помогает Элли добиться успеха. Но чем стремительнее набирает обороты музыкальная карьера Элли, тем сложнее ему мириться со своей увядающей славой.",,,,,
Заговорщица,"Мэри Сарретт - одинокая женщина, обвиненная в пособничестве в организации заговора с целью убийства президента Линкольна. Поскольку вся нация обращена против нее, Мэри вынуждена положиться на неохотно защищающего ее адвоката, чтобы докопаться до правды и доказать свою невиновность…",,,,,
Великий диктатор,,,,,,
Месье Верду,,,,,,
Огни рампы,,,,,,
Король в Нью-Йорке,,,,,,
Игра королевы,"Англия эпохи Тюдоров. Страной правит Генрих VIII, известный своей жестокостью даже к женам, две из которых были обезглавлены. Екатерина Парр, аристократка выдающегося ума и сильного характера, становится уже шестой его женой и осознает риск своего положения. Съедаемый паранойей Генрих везде видит предателей и врагов, а в сердце Екатерины зреет запретная страсть. Сможет ли она победить в этой опасной игре, когда на кону стоит не только престол, но и жизнь?",,,,,
Оскар,,,,,,
Сезар,,,,,,
Седьмой континент,,,,,,
Видео Бенни,,,,,,
71 фрагмент хронологии случайностей,,,,,,
Забавные игры,,,,,,
Замок,,,,,,
Пианистка,,,,,,
Белая лента,,,,,,
Любовь,,,,,,
Уайльд,"Остроумие и яркий талант Оскара Уайлда стали широко известны после публикации его романа «Портрет Дориана Грея». Уайлд, вполне довольный жизнью, наслаждался плодами успеха, пока одно событие не стало для него переломным. Однажды он был представлен красивому и молодому лорду Альфреду Дугласу по прозвищу «Боси», чья дерзость и ум очаровали Оскара. Это знакомство переросло в страстную зависимость, которая полностью поглотила и, в конечном счете, разрушила его жизнь.",Драма,,,,
Портрет Дориана Грея,"Остроумие и яркий талант Оскара Уайлда стали широко известны после публикации его романа «Портрет Дориана Грея». Уайлд, вполне довольный жизнью, наслаждался плодами успеха, пока одно событие не стало для него переломным. Однажды он был представлен красивому и молодому лорду Альфреду Дугласу по прозвищу «Боси», чья дерзость и ум очаровали Оскара. Это знакомство переросло в страстную зависимость, которая полностью поглотила и, в конечном счете, разрушила его жизнь.",Драма,,,,
Боси,"Остроумие и яркий талант Оскара Уайлда стали широко известны после публикации его романа «Портрет Дориана Грея». Уайлд, вполне довольный жизнью, наслаждался плодами успеха, пока одно событие не стало для него переломным. Однажды он был представлен красивому и молодому лорду Альфреду Дугласу по прозвищу «Боси», чья дерзость и ум очаровали Оскара. Это знакомство переросло в страстную зависимость, которая полностью поглотила и, в конечном счете, разрушила его жизнь.",Драма,,,,
